Size,U \%,O \%,D,FO,Instance,RT,,SD,RT,,SD,RT,,SD,gen,conv
9,50,85,Euclidean,Random,1,0,$\pm$,0,0,$\pm$,0,0,$\pm$,0,1,100
9,50,85,Euclidean,Random,2,0,$\pm$,0,0.23,$\pm$,1.85,3,$\pm$,6.32,1,100
9,50,85,Euclidean,Random,3,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,50,85,Euclidean,Random,4,0,$\pm$,0,0,$\pm$,0,3,$\pm$,6.32,1,100
9,50,85,Euclidean,Random,5,0,$\pm$,0,0,$\pm$,0,3,$\pm$,6.32,1,100
9,80,0,Chebyshev,Equal,1,0,$\pm$,0,0,$\pm$,0,9,$\pm$,7.75,2.44,100
9,80,0,Chebyshev,Equal,2,0,$\pm$,0,0.12,$\pm$,1.32,2151.6,$\pm$,2378.62,697.78,100
9,80,0,Chebyshev,Equal,3,0,$\pm$,0,0,$\pm$,0,9.1,$\pm$,7.84,2.11,100
9,80,0,Chebyshev,Equal,4,0,$\pm$,0,0.05,$\pm$,0.53,10.6,$\pm$,7.32,2.44,100
9,80,0,Chebyshev,Equal,5,0,$\pm$,0,0.12,$\pm$,1.32,85.7,$\pm$,36.16,22,100
9,80,0,Chebyshev,Random,1,0,$\pm$,0,0.35,$\pm$,2.26,4.5,$\pm$,7.25,1,100
9,80,0,Chebyshev,Random,2,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,80,0,Chebyshev,Random,3,0,$\pm$,0,0,$\pm$,0,7.5,$\pm$,7.91,1,100
9,80,0,Chebyshev,Random,4,0,$\pm$,0,0,$\pm$,0,5872.6,$\pm$,828.95,3000,10
9,80,0,Chebyshev,Random,5,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,80,0,Euclidean,Equal,1,0,$\pm$,0,0.12,$\pm$,1.32,3280.1,$\pm$,3465.3,1164.44,80
9,80,0,Euclidean,Equal,2,0,$\pm$,0,0,$\pm$,0,2841,$\pm$,2348.82,1000.11,90
9,80,0,Euclidean,Equal,3,0,$\pm$,0,0,$\pm$,0,7645.3,$\pm$,3835.6,2528.89,30
9,80,0,Euclidean,Equal,4,0,$\pm$,0,0,$\pm$,0,55.4,$\pm$,37.76,13.89,100
9,80,0,Euclidean,Equal,5,0,$\pm$,0,0,$\pm$,0,11529.9,$\pm$,103.54,3000,0
9,80,0,Euclidean,Random,1,0,$\pm$,0,0.12,$\pm$,1.32,3,$\pm$,6.32,1,100
9,80,0,Euclidean,Random,2,0,$\pm$,0,0.12,$\pm$,1.32,5337.5,$\pm$,1997.81,2502.22,20
9,80,0,Euclidean,Random,3,0,$\pm$,0,0.12,$\pm$,1.32,606.1,$\pm$,616.68,188.89,100
9,80,0,Euclidean,Random,4,0,$\pm$,0,0,$\pm$,0,3,$\pm$,6.32,1,100
9,80,0,Euclidean,Random,5,0,$\pm$,0,0,$\pm$,0,7.5,$\pm$,7.91,1,100
9,80,50,Chebyshev,Equal,1,0,$\pm$,0,0.12,$\pm$,1.32,3,$\pm$,6.32,1,100
9,80,50,Chebyshev,Equal,2,0,$\pm$,0,0.23,$\pm$,1.85,15.7,$\pm$,10.34,6,100
9,80,50,Chebyshev,Equal,3,0,$\pm$,0,0.12,$\pm$,1.32,5760.2,$\pm$,3295.29,2186.67,60
9,80,50,Chebyshev,Equal,4,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,80,50,Chebyshev,Equal,5,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,80,50,Chebyshev,Random,1,0,$\pm$,0,0,$\pm$,0,7.5,$\pm$,7.91,2.33,100
9,80,50,Chebyshev,Random,2,0,$\pm$,0,0.23,$\pm$,1.85,15.4,$\pm$,0.52,5.22,100
9,80,50,Chebyshev,Random,3,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,80,50,Chebyshev,Random,4,0,$\pm$,0,0,$\pm$,0,1.5,$\pm$,4.74,1,100
9,80,50,Chebyshev,Random,5,0,$\pm$,0,0,$\pm$,0,1.5,$\pm$,4.74,1,100
9,80,50,Euclidean,Equal,1,0,$\pm$,0,0.12,$\pm$,1.32,54.1,$\pm$,26.1,22,100
9,80,50,Euclidean,Equal,2,0,$\pm$,0,0,$\pm$,0,6,$\pm$,7.75,1.33,100
9,80,50,Euclidean,Equal,3,0,$\pm$,0,0.01,$\pm$,0.09,8.6,$\pm$,7.5,3.11,100
9,80,50,Euclidean,Equal,4,0,$\pm$,0,0,$\pm$,0,21.8,$\pm$,7.93,8.78,100
9,80,50,Euclidean,Equal,5,0,$\pm$,0,0,$\pm$,0,4665.9,$\pm$,3986.22,1673.44,40
9,80,50,Euclidean,Random,1,0,$\pm$,0,0,$\pm$,0,0,$\pm$,0,1,100
9,80,50,Euclidean,Random,2,0,$\pm$,0,0.12,$\pm$,1.32,1405.6,$\pm$,1402.62,617.78,100
9,80,50,Euclidean,Random,3,0,$\pm$,0,0,$\pm$,0,3,$\pm$,6.32,1,100
9,80,50,Euclidean,Random,4,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,80,50,Euclidean,Random,5,0,$\pm$,0,0.12,$\pm$,1.32,7.6,$\pm$,8.02,2.78,100
9,80,85,Chebyshev,Equal,1,0,$\pm$,0,0,$\pm$,0,1.5,$\pm$,4.74,1,100
9,80,85,Chebyshev,Equal,2,0,$\pm$,0,0,$\pm$,0,1.5,$\pm$,4.74,1,100
9,80,85,Chebyshev,Equal,3,0,$\pm$,0,0,$\pm$,0,3,$\pm$,6.32,1,100
9,80,85,Chebyshev,Equal,4,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,80,85,Chebyshev,Equal,5,0,$\pm$,0,0,$\pm$,0,6,$\pm$,7.75,1,100
9,80,85,Chebyshev,Random,1,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,80,85,Chebyshev,Random,2,0,$\pm$,0,0,$\pm$,0,3,$\pm$,6.32,1,100
9,80,85,Chebyshev,Random,3,0,$\pm$,0,0,$\pm$,0,3,$\pm$,6.32,1,100
9,80,85,Chebyshev,Random,4,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,80,85,Chebyshev,Random,5,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,80,85,Euclidean,Equal,1,0,$\pm$,0,0.12,$\pm$,1.32,6.1,$\pm$,7.88,3.56,100
9,80,85,Euclidean,Equal,2,0,$\pm$,0,0,$\pm$,0,3,$\pm$,6.32,1,100
9,80,85,Euclidean,Equal,3,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
9,80,85,Euclidean,Equal,4,0,$\pm$,0,0,$\pm$,0,4.5,$\pm$,7.25,1,100
