Scenario,Fitness,Time (ms),Best Generation,Seed,p,pe,pm,rhoe,K,MAX_GENS,X_INTVL,X_NUMBER
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7548.14,2728,441,831036137,60,0.326,0.1811,0.6315,1,500,48,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7627.55,27646,21,831036137,72,0.2344,0.723,0.632,4,1009,112,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,19270,43,831036137,53,0.1836,0.3283,0.5271,2,1757,173,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7703.9,20735,2223,831036137,78,0.2489,0.1071,0.7368,1,2682,77,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,15993,371,831036137,57,0.1686,0.4055,0.7566,1,2585,240,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,10352,69,831036137,49,0.1595,0.431,0.4792,1,1912,30,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,8484,330,831036137,27,0.4174,0.4184,0.5083,2,2037,294,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7627.55,54709,531,831036137,98,0.4007,0.5025,0.096,3,2441,180,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,22424,806,831036137,68,0.3533,0.1004,0.2091,2,1996,270,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,27402,124,831036137,95,0.0772,0.8959,0.4988,1,2521,166,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7627.55,43694,511,831036137,54,0.1916,0.379,0.6816,4,1959,97,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,27144,157,831036137,83,0.1593,0.3364,0.1715,3,1028,274,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7870.13,4232,136,831036137,82,0.3447,0.0293,0.7382,1,681,53,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7750,10787,2256,831036137,30,0.3769,0.1547,0.4613,2,2263,92,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,2994,221,831036137,39,0.3936,0.3778,0.8799,2,500,57,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7750,5712,87,831036137,95,0.1889,0.5959,0.5043,4,139,56,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7517.41,6448,1069,831036137,84,0.6618,0.1648,0.6768,1,1588,261,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,51881,17,831036137,79,0.3183,0.2546,0.6415,4,1817,111,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,13725,371,831036137,98,0.4482,0.0853,0.6603,2,964,110,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7757.7,11426,92,831036137,70,0.3954,0.2158,0.6533,4,485,124,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,4713,146,831036137,33,0.7781,0.1164,0.7828,3,1439,233,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,1672,227,831036137,25,0.7963,0.1412,0.5493,4,506,284,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,29245,2,831036137,61,0.534,0.4495,0.614,3,2628,42,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7627.55,7552,1025,831036137,68,0.6224,0.2595,0.609,1,2257,230,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7870.13,10073,1235,831036137,52,0.4761,0.1345,0.8426,1,2437,160,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7627.55,21391,1520,831036137,57,0.1599,0.2383,0.0524,2,1576,197,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,37041,710,831036137,53,0.2922,0.2513,0.0315,3,2307,186,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7747.83,4094,255,831036137,91,0.8762,0.0187,0.4496,4,438,235,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7627.55,16340,942,831036137,64,0.7969,0.0938,0.6603,4,1864,252,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,23419,179,831036137,96,0.5025,0.279,0.3583,2,1629,127,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,4309,90,831036137,27,0.4455,0.4028,0.3804,4,493,84,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,8192.98,433,58,831036137,16,0.8349,0.0351,0.0452,2,470,53,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,21701,1412,831036137,70,0.347,0.067,0.7051,2,1495,46,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7747.83,3803,216,831036137,79,0.1301,0.4124,0.5019,1,371,243,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7663.75,53475,817,831036137,90,0.2423,0.6923,0.4046,4,1307,71,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7627.55,3382,246,831036137,52,0.389,0.5036,0.9403,1,713,85,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7747.83,4960,7,831036137,70,0.5647,0.2246,0.3024,4,234,160,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7859.36,1990,101,831036137,23,0.4419,0.1796,0.854,2,477,138,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,19531,81,831036137,81,0.1237,0.7648,0.3439,4,470,235,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,50828,1002,831036137,64,0.1414,0.1933,0.5582,2,2905,132,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,11611,109,831036137,83,0.2093,0.3611,0.132,3,422,106,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,75309,478,831036137,87,0.1481,0.0526,0.4745,3,2283,207,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,33426,295,831036137,98,0.4275,0.3389,0.1167,2,2053,57,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7747.83,4373,1493,831036137,73,0.948,0.0269,0.2607,2,2531,91,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7656.64,43473,66,831036137,75,0.2929,0.3413,0.5481,2,2959,241,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,8058.47,3672,11,831036137,29,0.5654,0.0216,0.4556,1,2373,42,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SrandomDrandomUDequalFOrandomR0.csv,7674.66,10928,1070,831036137,46,0.2328,0.4656,0.0183,2,1127,167,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,19104,5,1208029444,30,0.2,0.3,0.5,3,3000,100,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,5651,91,1208029444,70,0.9353,0.0162,0.7033,3,2928,50,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,15587,543,1208029444,37,0.3116,0.3102,0.0577,4,1763,245,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,1909,144,1208029444,23,0.1997,0.7595,0.9373,1,1224,86,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,9568,22,1208029444,62,0.2934,0.1355,0.2338,4,632,71,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,4956,58,1208029444,50,0.3505,0.2874,0.7352,3,595,201,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,7149,110,1208029444,29,0.1473,0.4348,0.5186,2,1712,135,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,3420,699,1208029444,59,0.4798,0.3187,0.2162,1,1243,30,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,21803,12,1208029444,79,0.4819,0.1255,0.9009,4,1523,169,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,22318,31,1208029444,91,0.5872,0.0214,0.3068,3,2219,232,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,8909,56,1208029444,61,0.6699,0.2887,0.248,2,2436,245,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,46724,8,1208029444,100,0.1325,0.1998,0.3985,3,2091,60,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,63538,14,1208029444,94,0.1949,0.2365,0.7405,4,2424,294,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,3610,434,1208029444,81,0.5878,0.3718,0.3954,2,611,227,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,22449,22,1208029444,78,0.2138,0.409,0.8387,4,1064,152,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,12098.1,2309,2,1208029444,27,0.6996,0.006,0.743,3,978,33,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,8374,227,1208029444,91,0.4645,0.5326,0.653,2,1065,110,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,2275,29,1208029444,46,0.6595,0.1744,0.7191,1,1647,228,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,7047,69,1208029444,37,0.8034,0.0264,0.4336,4,2386,63,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,12075.4,537,97,1208029444,94,0.7084,0.2628,0.5129,1,224,210,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,12071.3,3554,550,1208029444,27,0.5175,0.069,0.931,3,1027,210,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,19887,200,1208029444,64,0.3673,0.1221,0.9862,4,1485,223,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,4362,955,1208029444,38,0.2456,0.1038,0.1325,1,1835,289,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,12098.1,402,7,1208029444,42,0.7207,0.1994,0.574,2,177,122,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,15615,11,1208029444,61,0.4408,0.1061,0.6497,3,1799,60,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,35672,20,1208029444,69,0.2661,0.4197,0.6669,3,2929,50,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,19815,102,1208029444,88,0.7763,0.1921,0.8726,4,2830,142,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,6160,850,1208029444,36,0.5015,0.3654,0.9411,2,2109,65,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,6027,105,1208029444,94,0.2847,0.2709,0.3495,1,1107,48,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,21135,9,1208029444,92,0.2171,0.5789,0.5726,2,1831,286,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,58524,11,1208029444,95,0.3167,0.338,0.7139,4,2791,139,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,8170,42,1208029444,35,0.4635,0.1965,0.3569,2,2611,53,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,4906,733,1208029444,35,0.4836,0.4964,0.948,3,1058,288,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,11277,2,1208029444,44,0.5614,0.4306,0.2766,3,2285,285,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,14714,317,1208029444,81,0.2863,0.61,0.97,2,1581,134,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,9613,626,1208029444,55,0.4629,0.3507,0.034,3,1384,273,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,4041,38,1208029444,71,0.4454,0.183,0.7197,2,658,84,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,9743,9,1208029444,52,0.426,0.0054,0.669,4,1054,118,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,1824,775,1208029444,27,0.1063,0.4069,0.7734,1,980,85,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,11241,403,1208029444,48,0.7035,0.0579,0.868,4,2317,41,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,3485,110,1208029444,41,0.3869,0.4889,0.611,1,1768,122,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,12098.1,144,3,1208029444,17,0.705,0.2876,0.8387,2,152,33,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,17244,498,1208029444,90,0.4836,0.2947,0.97,4,1220,248,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,5747,51,1208029444,80,0.4647,0.4174,0.2648,4,447,175,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,4479,7,1208029444,77,0.1098,0.175,0.6528,1,878,223,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,2792,320,1208029444,81,0.7621,0.1782,0.5928,3,574,272,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,7735,159,1208029444,50,0.2408,0.0876,0.0576,1,2709,140,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,12145.4,6510,1,1208029444,26,0.348,0.0178,0.9951,2,2649,271,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,1200,879,1208029444,57,0.9345,0.0017,0.1312,1,2651,213,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,2010,16,1208029444,64,0.4625,0.0344,0.9092,1,742,181,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,9550,137,1208029444,78,0.7144,0.223,0.822,2,2595,238,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,11832,140,1208029444,81,0.6704,0.274,0.035,4,1422,261,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,7678,96,1208029444,74,0.1671,0.4346,0.8296,2,841,209,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,4725,250,1208029444,46,0.5182,0.1266,0.7007,1,2640,119,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,29114,45,1208029444,85,0.2506,0.4916,0.7927,4,1543,266,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,3046,435,1208029444,86,0.6456,0.1924,0.0725,1,1271,70,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,6567,34,1208029444,61,0.2651,0.0179,0.1646,1,1933,48,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,12098.1,1487,1,1208029444,90,0.1508,0.1819,0.9004,1,261,84,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,19564,17,1208029444,97,0.4181,0.2808,0.7592,4,1133,261,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,12098.1,3077,5,1208029444,53,0.6577,0.0507,0.0012,1,2058,231,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,16302,2258,1208029444,92,0.0654,0.3602,0.9911,1,2668,65,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,8133,341,1208029444,60,0.7458,0.213,0.2066,4,1579,60,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,12071.3,15904,907,1208029444,65,0.3648,0.198,0.9965,4,1283,292,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,389,469,1208029444,18,0.8914,0.1025,0.3097,1,1987,248,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,2578,55,1208029444,65,0.2085,0.3732,0.68,3,223,157,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,4127,9,1208029444,42,0.4141,0.3316,0.7393,4,550,273,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,697,553,1208029444,14,0.7384,0.1843,0.3048,2,1082,201,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,6481,87,1208029444,77,0.0537,0.7183,0.8465,1,1232,60,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,8857,96,1208029444,86,0.3595,0.5949,0.6852,1,2171,68,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,6099,124,1208029444,24,0.4021,0.2192,0.2056,4,1350,89,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,11200,381,1208029444,54,0.5328,0.296,0.1265,3,1891,291,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,20538,691,1208029444,73,0.3618,0.2959,0.0267,3,1972,270,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,12098.1,330,2,1208029444,30,0.2409,0.7339,0.2763,1,198,73,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,3742,274,1208029444,70,0.6291,0.1607,0.4356,1,1827,236,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,6531,503,1208029444,60,0.4427,0.1661,0.0822,1,2537,293,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,12098.1,1555,35,1208029444,27,0.5426,0.283,0.91,1,1564,225,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,10615,225,1208029444,44,0.1945,0.4354,0.8403,2,2011,54,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,12071.3,5351,627,1208029444,85,0.8162,0.1427,0.0809,3,1315,187,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,26152,57,1208029444,69,0.4847,0.1194,0.483,4,2361,249,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,1594,655,1208029444,23,0.6794,0.0835,0.1647,1,2400,247,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,22560,1507,1208029444,59,0.2305,0.1774,0.0211,3,2224,240,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,29538,152,1208029444,92,0.2444,0.6592,0.0362,2,2914,126,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,10456,10,1208029444,87,0.2292,0.4235,0.6334,2,1017,262,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,12071.3,6022,6,1208029444,80,0.5391,0.0226,0.94,2,1024,50,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,8399,582,1208029444,65,0.2013,0.5449,0.9235,1,2199,62,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,9450,165,1208029444,55,0.4666,0.4655,0.5675,4,1066,298,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,1569,7,1208029444,60,0.326,0.1811,0.6315,1,500,48,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,16364,66,1208029444,72,0.2344,0.723,0.632,4,1009,112,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,11536,71,1208029444,53,0.1836,0.3283,0.5271,2,1757,173,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,11900,232,1208029444,78,0.2489,0.1071,0.7368,1,2682,77,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,9096,69,1208029444,57,0.1686,0.4055,0.7566,1,2585,240,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,5887,29,1208029444,49,0.1595,0.431,0.4792,1,1912,30,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,4845,184,1208029444,27,0.4174,0.4184,0.5083,2,2037,294,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,31806,6,1208029444,98,0.4007,0.5025,0.096,3,2441,180,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,13264,26,1208029444,68,0.3533,0.1004,0.2091,2,1996,270,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,15975,365,1208029444,95,0.0772,0.8959,0.4988,1,2521,166,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,25504,41,1208029444,54,0.1916,0.379,0.6816,4,1959,97,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,15850,18,1208029444,83,0.1593,0.3364,0.1715,3,1028,274,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,2859,8,1208029444,82,0.3447,0.0293,0.7382,1,681,53,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,6475,48,1208029444,30,0.3769,0.1547,0.4613,2,2263,92,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,12098.1,1792,1,1208029444,39,0.3936,0.3778,0.8799,2,500,57,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,3219,6,1208029444,95,0.1889,0.5959,0.5043,4,139,56,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,3677,19,1208029444,84,0.6618,0.1648,0.6768,1,1588,261,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,29338,11,1208029444,79,0.3183,0.2546,0.6415,4,1817,111,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,8111,63,1208029444,98,0.4482,0.0853,0.6603,2,964,110,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,6256,32,1208029444,70,0.3954,0.2158,0.6533,4,485,124,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,2829,188,1208029444,33,0.7781,0.1164,0.7828,3,1439,233,5
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,1007,56,1208029444,25,0.7963,0.1412,0.5493,4,506,284,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,17206,100,1208029444,61,0.534,0.4495,0.614,3,2628,42,3
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,4520,121,1208029444,68,0.6224,0.2595,0.609,1,2257,230,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,5170,165,1208029444,52,0.4761,0.1345,0.8426,1,2437,160,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,11112,757,1208029444,57,0.1599,0.2383,0.0524,2,1576,197,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,19359,843,1208029444,53,0.2922,0.2513,0.0315,3,2307,186,4
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,1981,91,1208029444,91,0.8762,0.0187,0.4496,4,438,235,2
C:/TunningBRKGA/Instances/scenario_I100U95O0SnoneDrandomUDequalR0.csv,11959.9,8199,36,1208029444,64,0.7969,0.0938,0.6603,4,1864,252,4
