Scenario,Fitness,Time (ms),Best Generation,Seed,p,pe,pm,rhoe,K,MAX_GENS,X_INTVL,X_NUMBER
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,128,1,1275007674,29,0.546,0.1696,0.3175,1,1418,202,2
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,1115,1,1275007674,60,0.3308,0.118,0.3065,2,2179,279,4
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,329,1,1275007674,55,0.7051,0.1893,0.3987,3,924,205,5
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,475,1,1275007674,80,0.277,0.4097,0.9923,4,330,179,4
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,856,1,1275007674,67,0.3239,0.267,0.5594,4,747,198,5
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,90,1,1275007674,34,0.5396,0.3081,0.0845,1,876,254,5
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,130,1,1275007674,13,0.1708,0.304,0.2572,1,1970,284,2
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,133,1,1275007674,41,0.7262,0.2187,0.9152,1,1576,88,3
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,323,1,1275007674,100,0.5411,0.002,0.8944,4,275,50,5
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,1440,1,1275007674,98,0.7199,0.1305,0.746,4,1807,282,4
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,399,1,1275007674,64,0.5399,0.3855,0.6985,2,1022,125,4
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,293,1,1275007674,40,0.6562,0.1259,0.952,2,1550,270,2
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,590,1,1275007674,39,0.1311,0.1734,0.8117,1,2886,141,3
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,1096,1,1275007674,60,0.5409,0.1861,0.5322,3,2019,113,3
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,652,1,1275007674,63,0.5494,0.1153,0.5415,4,842,117,5
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,840,1,1275007674,55,0.1506,0.473,0.1703,4,727,44,2
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,1545,1,1275007674,81,0.1525,0.4367,0.5998,3,1227,225,2
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,211,1,1275007674,89,0.527,0.0679,0.4198,1,758,76,4
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,653,1,1275007674,53,0.5519,0.2252,0.1577,4,1037,52,3
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,769,1,1275007674,86,0.5704,0.2478,0.6331,2,1562,153,2
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,371,1,1275007674,76,0.5274,0.3711,0.8341,1,1598,208,4
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,141,1,1275007674,71,0.556,0.2851,0.3763,1,640,286,4
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,189,1,1275007674,14,0.3306,0.1089,0.8768,2,1573,180,2
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,82,1,1275007674,18,0.4836,0.4038,0.4228,1,1149,196,3
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,611,1,1275007674,52,0.1189,0.7363,0.5684,1,2189,252,2
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,91,1,1275007674,34,0.7289,0.0849,0.7683,1,1346,239,3
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,389,1,1275007674,82,0.7466,0.0529,0.8604,1,2587,267,5
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,145,1,1275007674,39,0.9312,0.0633,0.2554,2,2092,82,3
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,1189,1,1275007674,91,0.2924,0.0784,0.6896,3,1008,126,4
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,428,1,1275007674,28,0.12,0.6053,0.8328,1,2897,92,3
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,284,1,1275007674,89,0.4172,0.1427,0.5127,1,842,162,2
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,706,1,1275007674,67,0.1494,0.3903,0.6662,1,2011,197,2
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,325,1,1275007674,25,0.5095,0.205,0.8834,4,993,229,3
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,399,1,1275007674,84,0.427,0.3037,0.9069,1,1306,215,2
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,247,1,1275007674,80,0.2996,0.0408,0.3967,1,693,233,4
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,2121,1,1275007674,67,0.601,0.123,0.013,4,2909,262,3
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,257,1,1275007674,56,0.4291,0.2734,0.034,1,1259,120,3
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,5616,1,1275007674,98,0.2346,0.4905,0.3105,4,2965,240,2
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,47,1,1275007674,18,0.6986,0.1534,0.5131,1,1162,198,5
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,609,1,1275007674,86,0.5097,0.2206,0.6241,2,991,39,5
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,393,1,1275007674,66,0.2976,0.4273,0.3471,1,1362,103,3
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,172,1,1275007674,54,0.0779,0.0406,0.8468,1,584,173,4
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,775,1,1275007674,52,0.2342,0.4046,0.575,4,790,249,3
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,1953,1,1275007674,50,0.4217,0.2511,0.1949,4,2631,150,5
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,239,1,1275007674,81,0.6189,0.0067,0.9065,4,296,108,4
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,75,1,1275007674,44,0.8463,0.0165,0.4553,1,1293,160,5
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,193,1,1275007674,53,0.3643,0.3021,0.4543,3,299,212,4
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,277,1,1275007674,66,0.5846,0.4002,0.2089,1,1506,156,3
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,593,1,1275007674,65,0.2739,0.1647,0.1166,4,488,243,2
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,328,1,1275007674,35,0.2661,0.2813,0.9548,1,2124,102,3
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,1552,1,1275007674,75,0.2795,0.1871,0.5476,3,1505,228,3
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,273,1,1275007674,91,0.7965,0.0587,0.3484,1,1831,288,5
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,46,1,1275007674,32,0.7565,0.1051,0.1154,1,815,282,3
C:/TunningBRKGA/Instances/scenario_I9U95O50SnoneDeuclideanUDequalR0.csv,14.4787,541,1,1275007674,31,0.4627,0.1445,0.5679,2,2518,171,2
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,478,1,2015675687,30,0.2,0.3,0.5,3,3000,100,2
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,154,1,2015675687,21,0.4453,0.2971,0.1607,2,2761,298,3
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,58,1,2015675687,34,0.4343,0.5069,0.2973,1,1333,65,2
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,95,1,2015675687,56,0.7607,0.0705,0.26,1,2224,113,3
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,29,1,2015675687,51,0.1035,0.2099,0.95,1,279,34,4
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,1759,1,2015675687,86,0.2171,0.0062,0.2316,4,2705,194,4
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,23,1,2015675687,70,0.7126,0.1852,0.1016,2,194,119,2
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,474,1,2015675687,90,0.395,0.353,0.1137,2,1851,140,3
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,1091,1,2015675687,92,0.0732,0.1315,0.0109,2,2783,276,2
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,53,1,2015675687,19,0.8843,0.0964,0.0709,3,1718,242,5
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,30,1,2015675687,37,0.4552,0.5156,0.6527,2,291,168,4
C:/TunningBRKGA/Instances/scenario_I9U50O85SrandomDeuclideanUDequalR0.csv,3.23607,304,1,2015675687,77,0.3423,0.0787,0.9925,1,2489,32,5
